"g","mY","gY","mA","mB","mU","e0","eP","bA","bI","mBs"
0.00489778819368446,0.125,0.00194984459975805,0.0974802648056793,0.753199482592948,0.776247116628692,1.07151930523761e-06,0.974922299879023,0.0213289759400796,30.8297500930741,NA
3.09029543251359e-05,0.125,0.338844156139203,0.165545240946535,0.00753199482592948,0.000114815362149688,4.26579518801593e-05,9.09850429304991e-05,0.0301279793037179,0.019452257249714,NA
1.51356124843621,0.125,0.00199526231496888,6.29385452192049e-05,2.22284926254865,0.0316227766016838,2.69153480392691e-07,0.00425569019101188,0.109388081197478,0.0102086897233476,NA
0.000776247116628692,0.125,79.4328234724282,16.9401284966018,0.0321299472846108,0.000173780082874938,0.0301995172040202,3.22827114517328,4.66627150398496,0.000535759652618803,NA
0.00288403150312661,0.125,5.37031796370253,9.97508718613238,0.00111406367266718,0.165958690743756,2.23872113856834e-05,1.61796828464814,435.481794978041,0.0690192132301443,NA
0.398107170553498,0.125,3.63078054770102,0.615058890210174,0.00656009325312216,0.0380189396320561,2.34422881531992e-05,8.2979345371878,0.0315478672240097,5,NA
0.239883291901949,0.125,0.00275422870333817,0.379242237554063,1.61031193961642,0.000707945784384138,3.63078054770102e-05,0.000281170662595175,11.9941645950975,3.01279793037179,NA
0.00371535229097172,0.125,0.295120922666639,0.000415830844534585,0.0926637801626147,91.201083935591,7.41310241300918e-06,32.2827114517328,0.00190094698160281,0.0774408309456241,NA
1.09647819614319,0.125,0.000177827941003892,0.0268482943336807,0.00328783498986923,0.00181970085860998,5.24807460249772e-06,0.00739554194084104,0.00674481441295827,0.00122735445784252,NA
0.354813389233575,0.125,0.794328234724281,3.70609630296397,0.0497633963191872,0.295120922666639,0.000426579518801593,0.000397164117362141,5.74076810748442,0.587448777469765,NA
0.01,0.125,85.1138038202376,0.00445570777632066,4.64419036371466e-05,0.851138038202377,0.00501187233627272,44.5625469066873,0.00223341796075482,0.00125594321575479,NA
0.0512861383991365,0.125,0.0316227766016838,9.97508718613238,1.98111649057639,0.00436515832240166,1.65958690743756e-05,2.39315046161319,53.5759652618804,28.1170662595175,NA
0.00010471285480509,0.125,0.000223872113856834,0.00739463428894949,0.656009325312215,0.00309029543251359,0.00562341325190349,0.0345915485459468,75.6780624218104,0.000931043568331434,NA
